# g K weights
6.997845780469106103e+00 2.091892556469961750e+00 1.174624039908197685e-04
5.599871389134363220e+00 2.071230297488539485e+00 1.513993982953860441e-04
3.400359133138516121e+00 1.946217632177799750e+00 7.393248448570067263e-05
6.833598555142618380e+00 2.001451927556236132e+00 2.276622869919398191e-04
3.000160365753088421e+00 1.424705546760278940e+00 5.650685716698609630e-05
3.130448972244817440e+00 1.292597942728106464e+00 4.504825631284594560e-06
4.844177549021628337e+00 1.344073742553647088e+00 7.006701769121041153e-06
3.275732588222098673e+00 1.310959936035315465e+00 1.163647445485843250e-04
5.552957857506379824e+00 1.652811293218139355e+00 2.609985358391805595e-04
5.833697845109461433e+00 1.879086754046449093e+00 3.342218250510190381e-04
4.799977814416124922e+00 1.833137694368923487e+00 3.849704369407241033e-04
5.766748202374338383e+00 1.931041768830485950e+00 3.733763968960527777e-04
4.567816096561741368e+00 1.708434647796809536e+00 3.200054703458581236e-04
4.730048811132493647e+00 1.678170805185274173e+00 3.508058854449963896e-04
6.791789130223159887e+00 1.854737998974926416e+00 7.544033891733253547e-05
5.234460296160039050e+00 1.651124097088326304e+00 3.835523209567181829e-04
4.208184603803193369e+00 1.578766540493763415e+00 3.360074097743492557e-04
5.594768794021359071e+00 2.119471120642402617e+00 1.712777185224557876e-04
4.539256166047444196e+00 1.615205335692672772e+00 4.266484188882205633e-04
6.716975301870780513e+00 1.684159376650059770e+00 4.697127059067932465e-07
7.200198794000279179e+00 2.669965438027019911e+00 1.357297819196837466e-04
5.537743531436086997e+00 1.549320535913959018e+00 5.778764068167381145e-05
4.077663711731814189e+00 1.613382568699168074e+00 2.819562193849898656e-04
6.432269159971238714e+00 2.003463010514496823e+00 2.999148765982867179e-04
4.872607511010611070e+00 1.396012900728377915e+00 3.422048831558776173e-04
5.080268819790778601e+00 1.543516119554341204e+00 1.652908176727326483e-04
4.630175611989572282e+00 1.740561195843075115e+00 3.002986250853702417e-04
3.937186402568206844e+00 1.540289259523844656e+00 4.414698830733339643e-04
5.856483999757068126e+00 2.303460453579124323e+00 3.880974342061588290e-04
3.338266923887541981e+00 1.497069906339089762e+00 2.010392587604978624e-04
5.695761395781428149e+00 2.181647369781486212e+00 1.131781478688522195e-04
5.038252198672072524e+00 1.500845606600716753e+00 3.755188323897595284e-04
4.758918256398168012e+00 1.422397337578273691e+00 2.056870370253559776e-04
6.327436475148262573e+00 2.142704828515397786e+00 2.924637870741593959e-04
7.848312636676296528e+00 2.212826841413876533e+00 6.722388304164993687e-05
4.319598454537342924e+00 1.387135003053951543e+00 3.503005969449797790e-04
6.489905046746312856e+00 1.884549820645583074e+00 3.221430911396080629e-04
6.334809525246722473e+00 1.872903789879381886e+00 3.807387660676197529e-04
5.259603518089805974e+00 1.897008569700069369e+00 7.534698832606063297e-05
6.521957514124988364e+00 1.894002478364730679e+00 2.889901910322752133e-04
7.990631049556290222e+00 2.237721689512520928e+00 1.174898523754457378e-04
4.087386144781619102e+00 1.354831690816589607e+00 1.183484243780228481e-04
4.621079652703174112e+00 1.688033494112090693e+00 4.995609392767725926e-04
7.679578031917236203e+00 2.278356414126957219e+00 1.846085341827236406e-04
5.792938767699515878e+00 1.998422567595661503e+00 2.641624943863212383e-04
2.506530599825693706e+00 1.448566490575854182e+00 2.603048450609056312e-04
4.239018240766059265e+00 1.595903437526828839e+00 5.546085299422043769e-06
4.960314995693109630e+00 1.753226190345453128e+00 4.953860981012544453e-04
5.541296443973757313e+00 2.240051785745036383e+00 2.922772889702301370e-05
4.085965305996050567e+00 1.699638113281178864e+00 1.222424410719865240e-04
6.691122069324444865e+00 1.848898914570926921e+00 1.471841357025863129e-04
5.242282024256385675e+00 1.845854271130448199e+00 1.865810528314137853e-04
5.647466705177277113e+00 2.301733469213179006e+00 7.410332991374293636e-05
5.228118358216898187e+00 1.747572549281141807e+00 1.496176601319040833e-04
5.222487266478723633e+00 2.040602729054278530e+00 3.620769696191049715e-04
3.524844213784241731e+00 1.394011616699682987e+00 2.467104264481497704e-04
7.977973318723125651e+00 2.442133004632259130e+00 2.293517448974782540e-05
4.486992603526642753e+00 1.819115673417199597e+00 6.853389338376780467e-05
4.115558950714800268e+00 1.776373436613542189e+00 3.628673943489303081e-04
3.335271039440503849e+00 1.277950954233521896e+00 2.813799175090515403e-04
3.848582228036883102e+00 1.580499691909302618e+00 2.853318434112836260e-04
4.275836352278298058e+00 1.583425414689055399e+00 1.949440814171274979e-04
5.964238133620924032e+00 2.670050015189883830e+00 1.578411522376107644e-04
3.630800682898856380e+00 1.859225827740830006e+00 2.787928546125939457e-04
6.267190594897877887e+00 2.111938070749772134e+00 1.696981805674543811e-04
3.800858758711849639e+00 1.739062305209477577e+00 1.641889685264403978e-04
4.850782651500366249e+00 1.538893694577228466e+00 3.758123347369949035e-04
2.164018762547332386e+00 1.401719756777390691e+00 1.680392685663691644e-05
5.038459223545217469e+00 2.273471036925784894e+00 1.757229394887646729e-05
6.359244085181652295e+00 1.974741117163361981e+00 2.772469291756942669e-04
5.726841304867138049e+00 2.168486176066590332e+00 2.352999302453222176e-04
1.910456049732928818e+00 1.397850583628732490e+00 9.362284022939767450e-05
6.392387696985010415e+00 1.814390280081976670e+00 1.048797130467978998e-04
5.839170908029435836e+00 1.766617967753811858e+00 4.366123945879415991e-04
5.906986159446908857e+00 1.659240007826617402e+00 6.934604567172113502e-05
4.108175325690066160e+00 2.224348412097274519e+00 5.250509034434228383e-06
6.514229438076165835e+00 1.987330637462853877e+00 2.557815647242351578e-04
4.940392137300302799e+00 1.706340027083878219e+00 5.024567422362338212e-04
7.302878133175422448e+00 1.962917306763031666e+00 1.387516323318087677e-04
6.203028812390127378e+00 1.902222211641269478e+00 3.581772342713596320e-04
3.378848803218693853e+00 1.881452270535235893e+00 8.271462522110603572e-06
4.618409581639829398e+00 1.693886695759350136e+00 3.290175817962137151e-04
2.202045519214254732e+00 1.179100987079878093e+00 4.897081323104285041e-05
4.506755066077767324e+00 1.973886907817220537e+00 3.673616306841164447e-04
5.756000676264626748e+00 1.740502238027884285e+00 1.261054133295368563e-04
2.134797416204882836e+00 1.195789338686613856e+00 3.264447595810933433e-04
5.568674931828717867e+00 1.804699878807372482e+00 2.747289490858977794e-04
3.756082774569792893e+00 1.276085819591085579e+00 6.116380377926293921e-05
3.950842308367963351e+00 1.464424712954280006e+00 6.644914441873472953e-05
5.525506720604025368e+00 2.093591365347059696e+00 9.606653414425700779e-05
6.549077322775013421e+00 2.214367638398560434e+00 2.190938974691435278e-04
4.871563678534487352e+00 1.874105389925201592e+00 1.680407179863574853e-04
4.837503756595068261e+00 1.633166945139178594e+00 2.496552602983942697e-04
3.983995470902596203e+00 1.421289913089577750e+00 2.560700896485543741e-04
3.362612793714185866e+00 1.655306802453595072e+00 1.118066770092406535e-04
3.505185043781860799e+00 1.878551967582085203e+00 3.293231715945434969e-04
4.565097525965441605e+00 1.577362588938783450e+00 3.816428654574283413e-04
5.964228212741346624e+00 2.227626211743217954e+00 1.338066426685287314e-04
4.425350015902616008e+00 1.786601613251264986e+00 3.775238531008451174e-04
4.383109644493121237e+00 1.723478312524260758e+00 3.414427775880819380e-04
5.648861771245599073e+00 1.634418444482671040e+00 4.831221504515516622e-04
3.393907862170548295e+00 1.343938732994312879e+00 2.880200736386468808e-04
5.143459752634907289e+00 1.531070315124532621e+00 2.637859124770193953e-04
6.859984704102026321e+00 1.838235476819060077e+00 8.389412856023418825e-05
5.142251210008980777e+00 1.590679861739898726e+00 1.401380797713184221e-04
6.666261479361439868e+00 2.351584473229609173e+00 1.262204689110283401e-06
5.101473482072942822e+00 1.599146180001524087e+00 3.748664110980981751e-04
8.693587108766665850e+00 3.049709823760052174e+00 1.085652700990466696e-05
5.718211872678118368e+00 1.805302849620894268e+00 4.359936279258287630e-04
6.030366530057616359e+00 1.663708600753720734e+00 2.696270746963944543e-04
4.940147441181849786e+00 1.870894132237066243e+00 3.474682865893245656e-04
4.047943809004051374e+00 1.670820862086655589e+00 3.916147564933517206e-04
