# g K weights
6.096168518664326186e+00 2.200170269153447045e+00 1.393735378880462056e-05
5.387776404740672653e+00 1.830772423150243133e+00 2.278670603341621781e-04
6.071583342858635213e+00 2.087014831567804762e+00 4.070319785634121456e-05
2.557873476428683013e+00 1.238929307345867370e+00 2.401578981997800537e-04
5.646928627102798082e+00 1.962850033417864237e+00 3.834154129125870577e-04
5.140857391317262604e+00 1.795822447808093525e+00 5.001567967221209757e-04
6.462658299497794800e+00 2.040938476476744423e+00 2.946746217438986934e-04
6.315720673512815075e+00 2.083841328303932094e+00 1.950438360175917930e-04
4.265259389697437342e+00 1.731521118198895204e+00 3.259378254711075315e-04
4.413280188375854785e+00 1.881889791407165946e+00 2.619131027066991206e-05
4.575183197634727250e+00 1.558314709351134475e+00 2.680896063977271718e-04
3.946886252865894118e+00 1.799174717397984180e+00 1.852103724698623774e-04
4.181497643110025919e+00 1.730828877086085349e+00 1.898519909273999994e-04
6.756151337788177891e+00 2.401452541364846205e+00 1.524639400815051406e-05
4.494793125665233369e+00 1.743071201651088309e+00 2.942502579676941048e-04
3.937640732706173541e+00 1.793967871575580686e+00 2.579483278921929751e-04
6.037550342589295127e+00 1.979141391011489004e+00 8.085012894720836627e-05
5.885407587003850693e+00 2.216374175989662021e+00 4.985727870650345350e-05
5.469232689939150127e+00 1.866088581128336310e+00 2.664265074864457161e-04
3.843809992042666490e+00 1.241892286685352786e+00 1.143056219363920055e-05
3.008594033327905315e+00 1.280894151603256148e+00 5.828041614766253439e-06
5.544520738375846136e+00 2.152730249267968077e+00 2.496323565442071474e-04
4.851250950072225621e+00 1.780116682565989983e+00 2.129366870435851322e-04
6.439482908972069097e+00 2.060955504060582921e+00 7.075614828890838598e-05
5.568587102053436766e+00 2.070108196746952345e+00 4.013682349747849467e-04
5.431522708692905432e+00 1.665620621615882868e+00 3.932714118528062497e-04
5.257760753253311492e+00 1.537384488279504025e+00 2.829524673450503516e-04
5.941643066843415255e+00 1.852193661197210073e+00 4.356060165283123049e-04
7.844816134547138553e+00 1.870703003642407491e+00 1.246412644458218364e-04
6.289712873500127976e+00 2.095146459088827573e+00 3.029566168354570657e-04
6.032755619989544904e+00 1.815640698983964629e+00 2.500880604910116494e-04
4.117506319506300194e+00 1.525197753859085958e+00 2.861163523425337262e-04
7.161040231183657845e+00 2.164949914251520724e+00 6.071897118025081335e-05
6.344552469240468007e+00 1.780742449523755822e+00 1.725697641901391410e-04
4.710089878876126512e+00 1.753983391607749409e+00 3.601765278393119474e-04
5.866056423165391109e+00 1.944539678496071122e+00 4.104369951900379882e-04
5.563275947765467855e+00 1.687895881581461754e+00 2.941560876310240808e-04
4.217365185396433347e+00 1.334545360439088224e+00 5.786180869665274128e-05
5.932764211852142644e+00 2.120506325430050687e+00 8.403435215404957549e-05
6.554295918568525003e+00 1.766652207433375033e+00 8.853843377690897621e-05
5.509232505211334896e+00 1.846593474402886903e+00 2.332464638374561784e-04
6.282568207042541708e+00 1.779069560175470022e+00 6.814039286124654005e-05
3.006139876267742039e+00 1.863039295683895480e+00 9.565721558963964210e-05
3.448267147619169748e+00 1.475436211997233293e+00 3.166771950340598290e-04
4.840720940387244653e+00 2.041886746042670175e+00 9.079571548734009768e-05
5.846632930367502645e+00 2.289378196673433230e+00 1.339060402133149523e-04
5.870455336160055992e+00 2.121543490907369822e+00 1.615964504939584238e-04
5.347212243999121206e+00 1.981690899023590413e+00 4.101218781910271672e-04
5.943387551356385856e+00 1.913688101103410588e+00 5.985911939118807495e-05
6.542553074997529805e+00 2.103309229695098814e+00 1.815733005252332028e-04
3.795767321845063158e+00 1.391289111082986807e+00 2.051544035722786851e-04
4.412261237942402659e+00 1.892977998915407190e+00 4.350182852702693900e-04
4.757318009077567744e+00 1.450173462961180215e+00 3.643605466674458364e-04
3.720495143165186036e+00 1.512627625086031324e+00 3.489060095369519131e-04
2.615227354802313275e+00 1.491898916283528109e+00 4.563908337608420913e-06
6.400685884947205473e+00 2.057227055335387966e+00 3.067681546721903805e-04
4.557610615926682485e+00 1.606392832538626969e+00 3.669596873256460862e-04
7.215700003560738374e+00 2.252338730350541773e+00 1.832486205193871258e-04
4.435484251221484264e+00 2.045574812434428846e+00 5.019413678676381500e-04
5.084857091785563554e+00 2.171470043378750603e+00 3.685186007984843652e-05
4.804745388956361829e+00 1.683428670592437504e+00 2.130541915162160094e-04
6.997396281986361544e+00 1.864168875446682083e+00 1.161643533996977649e-04
4.188163315361858707e+00 1.732659945135450741e+00 1.140145546980489915e-04
4.545474624195793290e+00 1.687486066632371662e+00 2.950443299366261457e-04
6.986643152581270222e+00 2.299763173381822234e+00 1.733605037009765791e-05
6.258547793978266327e+00 1.975833177038834210e+00 3.056268628636544735e-04
5.690605521161057112e+00 1.851088870986383750e+00 3.501325991375345758e-04
4.611847850886934275e+00 2.346886396821324716e+00 4.436046694450772028e-06
3.651003734842035442e+00 1.475827599081007246e+00 3.906923263388924249e-04
4.872658322820894838e+00 1.548054668898926067e+00 2.400717223504811196e-04
8.348847382472417422e+00 2.630884597744183484e+00 8.039649462360037631e-07
6.604567219304550818e+00 1.892186204752531076e+00 1.341458342997975254e-04
6.628880925483205289e+00 2.035101739823248046e+00 3.164896122911706037e-04
5.525134268393432357e+00 1.850512705797517032e+00 1.329714907351288683e-04
6.182757856073200387e+00 2.362963785276896544e+00 6.530541461788504087e-05
5.425572747060916079e+00 1.624016365298031062e+00 1.685344008272253837e-04
7.525157748669141000e+00 2.232542120065740487e+00 1.605844248195720638e-04
4.360738598252638987e+00 1.802475598731265727e+00 4.564189553604575665e-06
3.678929887576801505e+00 1.187027394745778563e+00 5.135952539285934110e-07
5.008381111663732455e+00 1.859428946298925744e+00 3.911521227202608992e-04
3.788873569273187858e+00 1.543275891907251784e+00 2.115957916761325506e-04
5.095145407925133263e+00 1.531443019978318887e+00 5.497718058817060993e-05
6.260052902299545252e+00 1.989793930706710956e+00 2.809978569539618460e-04
5.036127470139637907e+00 1.906395601981514920e+00 2.428522652693115337e-04
5.239441360744860887e+00 1.521534141113353833e+00 1.214136505641446538e-04
6.685505156427452356e+00 1.845524666105781364e+00 2.502152452537071835e-04
7.070902498563804706e+00 1.928540679306081085e+00 4.366139365942260870e-04
3.494131254906590822e+00 1.694897794269207392e+00 6.843892307280230144e-05
8.239775298150295413e+00 2.451122619344881848e+00 1.354325378509532284e-04
6.474068824278502277e+00 1.771915012952756774e+00 1.327149163197161800e-04
3.336650941877572052e+00 1.474428679383367857e+00 8.513440883127863367e-05
4.739765463380422261e+00 1.936257003071831573e+00 1.603173471020429800e-04
4.710474759040939929e+00 2.128221347057737578e+00 1.151882498527673638e-04
5.872527320426382147e+00 1.630390197390482632e+00 1.002442990910635455e-04
6.459882541124693844e+00 1.946347633285681056e+00 1.015279260783836347e-04
7.883133043248836458e+00 2.135073938021380346e+00 5.344695583111647511e-05
4.662764246075822072e+00 1.815139876201489644e+00 3.686099592874945942e-04
4.352084886722282775e+00 1.657755729765969077e+00 2.393329043340993638e-04
5.455346322533000780e+00 1.901894424779896120e+00 1.795395526601266097e-04
5.127163874133737309e+00 2.059119266409301652e+00 4.765022381908355035e-04
4.980887377870456767e+00 1.946562911062817536e+00 1.410746367797841602e-04
5.181999131584240637e+00 1.308632050411566716e+00 2.055874280527681666e-05
4.519018480397068771e+00 1.581770913251001831e+00 2.428348684724692460e-04
2.073564292180435142e+00 1.433740251364896690e+00 6.421030073167234743e-07
6.708021607211243520e+00 2.289987069328276004e+00 2.449666899159113866e-05
6.606231372519018485e+00 2.041607718921960135e+00 2.156541651750272938e-04
5.318229032001825729e+00 2.222657336472253498e+00 1.088399240095558600e-04
4.371412447635160348e+00 1.647607872003575169e+00 2.916443142941238498e-04
4.467069152153826828e+00 1.592179446624008232e+00 3.984447975737980983e-04
7.097069795714093132e+00 2.252241697334287807e+00 1.647504780008034826e-04
6.848537727778293061e+00 1.827533390436783867e+00 1.597782326705853408e-04
5.623000999299152092e+00 1.776367662838157058e+00 2.905521332625620834e-04
4.064640643114301177e+00 1.386036413679122559e+00 2.379656039040246634e-04
7.299964616793312544e+00 2.672132441113209023e+00 1.744896259383638635e-07
4.132196778987927033e+00 1.533072574802867294e+00 1.579960302918725901e-04
3.725160010558997037e+00 1.637604317806014231e+00 5.986768065740957333e-05
5.038233764871474563e+00 1.640080590687363005e+00 2.458662444848958364e-04
4.746109126084316898e+00 1.768069752744499956e+00 4.439544605246330071e-04
4.251270715309311221e+00 1.584675380944607914e+00 2.466377483230037864e-04
4.353495083843583302e+00 1.373967127424971624e+00 1.610255219123527155e-04
6.745180848725347289e+00 2.043880155659794084e+00 3.137949504586749782e-05
3.598433050676465683e+00 1.448396078236901641e+00 1.558820060821211172e-04
5.244671153982615408e+00 1.632748081636488546e+00 3.333060287882375376e-04
3.299485785623993195e+00 1.653030187956680441e+00 3.318264084588723743e-04
6.615055747016876708e+00 2.273922005341295627e+00 8.247984640414420855e-05
5.631473804927959570e+00 2.116655014642789823e+00 2.024204178822777483e-04
8.066953730522163468e+00 1.831538890856628132e+00 8.637395498667484686e-08
4.292349743769251269e+00 1.647563440514052679e+00 1.196567954998975432e-04
7.588041598131747278e+00 2.107721013409763700e+00 9.929740172315004710e-05
4.489149087405393423e+00 1.435007783882908061e+00 1.954428721152928007e-05
5.275160572942320769e+00 2.054400356529898275e+00 2.210181633923153472e-04
5.226125632790569853e+00 1.673239767712570103e+00 4.360567582352743591e-04
5.217344730020291088e+00 1.620294644270024564e+00 3.949865042246530406e-05
4.900582299105424866e+00 1.779358155150650322e+00 1.287099188022249128e-04
4.768829690885252326e+00 1.653564603403494981e+00 3.415843386587429905e-05
2.276005043438493303e+00 1.294035176821588973e+00 2.276107547814857095e-04
5.289700214530799194e+00 1.789337144062929541e+00 3.345178046949791578e-04
5.896892615147880434e+00 1.676771457636338614e+00 3.551894753630136588e-04
3.911085628917758239e+00 1.576068123059684245e+00 2.016305520818266581e-04
6.561663264320172217e+00 2.162048406325845384e+00 1.354990691747825181e-04
4.870913573292662058e+00 1.507474432475258475e+00 1.988605072291609120e-04
7.302423126382554308e+00 2.014887837367643986e+00 1.189659780410002221e-04
3.521848783309585507e+00 1.535094345026734697e+00 2.132335355791869396e-04
6.924973856602569811e+00 2.241803684604011249e+00 1.295912148231496389e-04
4.709802402335251159e+00 1.530982852671601169e+00 1.799269651753296177e-04
2.456968162529545641e+00 1.768665905461551890e+00 4.207258796827592477e-04
8.199386358881460168e+00 2.285478022882939886e+00 4.851326625404282170e-05
5.889740005380637911e+00 1.972920737608247377e+00 3.270985221164046403e-04
6.975051297561453367e+00 2.810005464674670606e+00 2.104827299823110809e-06
4.883955241887143472e+00 1.850843112096194787e+00 1.166201526028478707e-04
5.272922076989836171e+00 1.820026892294520859e+00 3.193549568620499273e-04
3.513201808987359342e+00 1.979473008287254032e+00 8.068811464488478285e-05
3.783728890388760036e+00 1.254856552629977751e+00 1.800773979869274264e-06
4.485952805369254115e+00 1.880150607018363340e+00 2.571352535046845535e-04
6.094109658319882605e+00 2.108405621909942518e+00 2.795816525118350292e-04
5.091537554203934945e+00 1.680807655537122747e+00 3.618258646289069093e-04
8.434219425296927142e+00 2.198102167724936606e+00 5.251962651296044460e-05
4.784740711515357958e+00 1.699725822731957603e+00 9.152108009225789239e-05
5.915339675571312128e+00 1.947889326224263140e+00 2.983625169283298808e-04
6.252577270520522923e+00 2.322502869180237184e+00 8.581775085654585241e-05
5.124312381366165070e+00 1.742669495169778537e+00 3.171130556877216843e-04
7.567426044987439759e+00 2.440217063300252676e+00 1.722211763629415745e-04
5.154884340203334858e+00 1.686548715092874406e+00 4.804112467300337887e-04
4.123427318327779645e+00 1.648785370890468949e+00 2.604894525100042183e-04
5.245697899451199575e+00 2.075134244602444777e+00 2.811742336341184486e-05
6.982189386700794920e+00 1.826158229491247731e+00 5.619051044615457855e-05
5.920891231605380334e+00 1.755862941838650215e+00 1.399418005897703208e-04
5.756343359787768676e+00 1.466373882610938040e+00 1.480811106218951829e-04
3.676872767372418416e+00 1.273672719091409444e+00 6.953198494651540729e-06
6.479216571125329338e+00 1.815312289882576646e+00 5.188392329714330766e-05
4.410684097641237145e+00 1.447630952936188375e+00 2.396035456235222913e-04
4.534170113793552837e+00 1.931179300217800598e+00 2.679779844962464877e-04
7.277356968209449661e+00 2.404354840423862605e+00 1.635290268823305621e-05
4.954599892020707053e+00 1.972259507804441148e+00 2.628341386972905076e-04
6.531391553728719934e+00 2.066965662831449890e+00 1.853375529693803184e-04
5.913500088358226492e+00 2.235333421383163266e+00 4.302247320269442080e-04
4.401526408492789422e+00 1.505197597305585111e+00 2.771768284331721228e-04
2.933693235793430887e+00 1.240420056001783511e+00 1.968173044713417846e-04
5.752767975109213339e+00 1.984388923430959961e+00 2.603278702396089202e-04
6.615147390860935950e+00 2.146358611231331537e+00 1.915066286138560427e-04
5.668632012880142845e+00 2.226081680991914169e+00 2.320040888097508504e-04
6.334142279996173741e+00 2.254335837138382370e+00 1.150488000436591837e-04
6.646590890751934211e+00 1.976181883750674606e+00 2.246706436022646381e-04
2.914145392083824060e+00 1.396218179544450155e+00 2.810787024331715667e-05
5.658397928787991304e+00 1.838528092794140978e+00 2.392997380830625776e-04
5.356720256559792226e+00 1.632150621728583717e+00 3.450382733650883636e-04
2.923772751490986366e+00 1.503765137892210335e+00 1.205269781404516182e-05
6.020733824758889519e+00 2.172573370573279039e+00 1.454032932179567274e-04
5.831501526330160168e+00 1.728870865508660648e+00 3.321106742793893661e-04
3.100534833257341916e+00 2.520565618285985465e+00 1.333505000932299451e-04
4.955882940229138889e+00 2.136942525352723887e+00 1.020191691278637018e-05
4.947067448012470336e+00 1.540802388274476797e+00 3.573050555460302135e-04
4.689756887029860266e+00 1.849788039845576382e+00 2.324938450006990085e-04
6.148515751969363841e+00 2.182941818883756380e+00 1.799769679684236085e-04
6.393663495263169239e+00 2.114380918840379486e+00 6.714693145879293331e-05
4.464334239242082170e+00 1.661784301370343497e+00 4.667156717218414320e-04
4.760253129499968594e+00 1.596068033898701000e+00 4.249030603387744169e-04
5.036522784130334607e+00 1.574175230833561034e+00 2.731598077359254323e-04
6.739963302895000119e+00 2.507963145929984261e+00 1.726517078966117286e-05
5.712432263341992389e+00 2.180014829890470018e+00 1.312270531418474856e-04
6.465284188350368666e+00 1.983097209333250621e+00 2.782230449683624441e-04
6.539469563836306953e+00 1.923101215757618832e+00 1.796151417837782882e-04
5.655489710772096501e+00 1.876802797878510676e+00 4.456028939514980794e-04
6.612487048844669424e+00 1.986773659741733145e+00 2.068617468890315489e-04
5.958043256992060499e+00 1.744756136448381012e+00 2.427738618331905620e-04
4.343226478808560387e+00 2.067879568359343168e+00 1.199969568258215714e-05
7.395301739729022827e+00 2.251593132081245230e+00 3.640556317105431383e-05
6.020690977031324387e+00 1.488281383357289656e+00 3.296332097841570799e-04
3.657941830577171594e+00 1.409300822466337921e+00 4.201120311534925380e-04
6.245428039499822503e+00 1.935068567958483365e+00 5.234998031064407893e-05
2.582385204980113258e+00 1.676697151013177178e+00 1.604852705692855696e-04
4.210728072125995425e+00 2.002135803558881655e+00 1.138926829944985361e-04
6.992280495620332381e+00 2.336654367733405735e+00 2.691646075508853739e-04
4.590720138615901114e+00 1.451133897160221675e+00 1.936241009875156198e-04
4.209707703171688742e+00 1.330306802548790746e+00 3.469915802303954674e-04
3.360813996460259467e+00 1.619985478115571143e+00 3.007760804780560276e-06
5.025068098714728038e+00 1.823616302385274501e+00 4.011432512224088608e-05
6.105994559251721299e+00 1.671227152331133947e+00 1.185523863216817429e-04
6.260935664879503371e+00 1.784435757587127469e+00 1.227580548255628376e-04
6.310095550252809105e+00 2.295914105639164315e+00 2.938675543046174890e-05
4.599528141671831882e+00 1.285412110391624285e+00 5.540393174360122352e-05
6.342221076820887760e+00 2.415501483864833432e+00 7.564476442964668083e-05
5.845433860263741899e+00 2.098676416851619653e+00 2.799761424131801840e-04
5.710263854002253225e+00 2.524136680265747668e+00 3.221333982405881713e-05
5.658150911361440549e+00 1.730118293747395564e+00 5.048489900775311517e-04
4.524703958675142523e+00 1.819894047698805251e+00 6.803921520700136592e-05
4.518924503649528468e+00 1.585908694116623163e+00 2.338851027049116608e-04
3.284706296179728646e+00 1.226578406542521815e+00 1.881512331526675097e-04
4.749046884730470985e+00 1.868190478154095668e+00 1.389040088795607392e-04
4.915893950132100620e+00 1.661284902333982405e+00 3.911440536423563524e-04
5.842863697326199812e+00 2.420470663349943763e+00 2.882593232615662503e-05
3.400597764622454111e+00 1.495225851584664145e+00 2.930694530289367611e-04
5.401462520542979817e+00 1.711559147097940103e+00 4.117832007990892000e-04
3.174013653761087017e+00 1.918170418355886087e+00 8.190330468125458271e-05
6.493083128153271488e+00 1.807092746777345882e+00 2.000290947571447902e-04
5.774450307249016312e+00 1.663875749989327968e+00 2.297675350423068438e-04
4.391254449963966522e+00 1.927092418735231627e+00 1.332177678247416220e-04
6.030475229898840439e+00 2.022264943561592254e+00 3.902662150258288010e-04
4.776129859966611768e+00 1.635510779407369553e+00 3.662956727520024240e-04
3.787835941377501570e+00 1.929250488737247471e+00 5.417207981658217903e-05
3.836908687912425009e+00 1.785290552539390729e+00 1.621405640614790190e-04
3.791506925295709429e+00 1.532835486260764490e+00 9.081610596413096262e-05
3.600861622595899370e+00 1.814011496229484210e+00 3.318832794305796342e-04
5.552463937692673213e+00 2.149230281385311248e+00 2.903885438624598201e-05
5.414166646651819903e+00 1.648014383929524929e+00 1.718836198563061834e-04
4.676218113496457107e+00 2.060375576212284621e+00 2.923819197824279541e-05
5.863726467988720437e+00 1.763551617689557593e+00 3.048586571614781489e-04
5.130893728591518155e+00 1.608098306490108209e+00 2.644682219116164319e-04
5.352430510595806545e+00 1.455444448086448794e+00 1.341356890892811762e-04
5.399481633946086490e+00 1.980054933273986517e+00 5.141290097318458596e-04
5.260449619616751171e+00 2.523721416582401122e+00 5.518983407446561852e-05
6.993904838038481842e+00 2.001158129473187941e+00 1.265430734178139946e-04
6.111012951061978171e+00 1.814330326508835745e+00 3.992706172170148744e-04
7.735723425112992047e+00 2.563949863573061982e+00 1.959932246323110825e-05
4.837357270999424586e+00 2.060977434570602007e+00 1.832151905564724298e-04
6.692888488491647969e+00 1.962775125533171794e+00 2.174846961161399305e-04
3.354556012992144787e+00 1.416171344690259071e+00 5.408854268074302958e-05
5.027578014759338743e+00 1.830689733695601173e+00 2.066099969795355084e-04
4.948684367747284263e+00 1.820462076215824343e+00 3.584755918568517490e-04
4.940541890450313112e+00 1.609604519410855250e+00 2.504948584114684578e-04
2.666064700777901919e+00 1.048562384241660261e+00 5.072471933677200164e-06
5.297697673928372097e+00 1.659386292750695491e+00 3.115493775055373500e-04
8.075057252606546498e+00 2.271340614668080349e+00 6.044831953309258649e-05
5.908686420516803040e+00 1.812189694342225987e+00 4.101853255230998802e-04
6.297480250499817522e+00 2.078435804388711450e+00 2.610764000924688721e-04
3.927059813109063491e+00 1.768862408904455341e+00 2.700878252222123593e-04
5.290533614488049707e+00 1.860227730780757982e+00 3.702516663356284821e-04
6.420706626940713591e+00 2.286704761929593932e+00 6.259949486292207190e-05
5.805270272471559245e+00 1.798837656803900398e+00 1.132988279186181418e-04
7.493751146520027717e+00 2.074183591028322837e+00 3.296162642423854290e-05
6.647861955860121519e+00 2.219132311583296602e+00 7.378421085739062684e-05
2.909968267817566900e+00 1.474747978533344384e+00 3.261251832027424583e-05
6.649227428784352689e+00 2.351727160894220958e+00 6.080470737059365510e-05
5.507445848783529385e+00 1.987293924927126643e+00 2.553026514468447676e-04
3.064784836715428895e+00 1.423410005499239794e+00 2.539468099306411205e-04
5.956356193606060501e+00 1.684831459410855992e+00 4.939189618780617753e-05
